"nombre","apellido","pais","fecha_nacimiento","posicion_id","equipo_id"
"Ase","Canas","Philippines",1975/03/16,3,1
"Nissie","Beyn","Poland",1977/10/13,4,2
"Elvin","Sergison","Indonesia",1993/09/15,4,3
"Aeriela","Rigge","Russia",1977/10/03,3,4
"Dillon","Tolhurst","Philippines",1988/03/09,2,5
"Courtney","Size","Bolivia",1983/03/30,2,1
"Addison","Glenn","Dominica",1986/07/23,3,2
"Calypso","Stichall","Russia",1973/02/14,2,3
"Isidro","Tinner","Sri Lanka",1982/04/15,1,4
"Kayley","Swatheridge","China",1980/02/25,3,5
"Neils","Stoffels","Portugal",1994/04/28,4,1
"Weidar","Paydon","Poland",1966/05/04,2,2
"Nap","Beldom","Peru",1968/09/11,2,3
"Frederich","Vickarman","France",1980/05/02,4,4
"Lezley","Neat","Japan",1981/01/16,4,5
"Jazmin","Yardy","China",1986/03/21,3,1
"Cassondra","Kynder","Czech Republic",1965/07/07,3,2
"Joelle","McGurk","Palestinian Territory",1969/11/26,2,3
"Rich","Cheverton","Guyana",1964/12/31,3,4
"Bart","Mateuszczyk","France",1984/08/14,3,5
"Panchito","Dolling","Russia",2000/03/13,3,1
"Elladine","O'Reilly","China",1964/11/25,4,2
"Aubrette","Gabala","Indonesia",1981/12/18,3,3
"Lynde","Jales","Indonesia",1994/09/12,4,4
"Emelina","Trass","China",1970/01/08,4,5
"Pavel","Gravenall","Poland",1986/10/07,3,1
"Patten","Askin","United States",1974/09/17,3,2
"Jacynth","McLanachan","South Africa",1997/05/22,2,3
"Cicily","Barr","United States",1975/01/21,4,4
"Ward","Reyner","Egypt",1989/02/11,4,5
"Brant","Henrych","China",1991/08/08,4,1
"Byram","Cammis","Philippines",1995/08/17,2,2
"Noach","Dow","Thailand",1991/01/18,4,3
"Alie","Chastey","Brazil",1973/01/19,2,4
"Pam","Cockton","Philippines",1964/12/19,1,5
"Mattheus","Dossett","France",1961/10/08,2,1
"Devland","Belchamber","Philippines",1967/05/14,1,2
"Philis","Tappin","South Africa",1966/09/21,2,3
"Heath","MacCurley","Portugal",1990/12/24,2,4
"Jeanne","Aizikovitch","Philippines",1964/12/06,2,5
"Querida","Evequot","Dominican Republic",1979/12/09,3,1
"Marion","Robertacci","Poland",1969/12/09,3,2
"Fidelity","Oldcroft","Botswana",1980/06/09,3,3
"Raquel","Siaskowski","Portugal",1977/01/22,3,4
"Ferguson","McKeggie","China",1978/08/24,1,5
"Leland","Kubu","Indonesia",1968/06/19,1,1
"Lorin","Napier","Philippines",1995/10/04,3,2
"Vin","Donisi","China",1989/06/04,4,3
"Claudianus","Christofle","Vietnam",1964/02/29,2,4
"Kinny","Linzey","Russia",1990/03/23,4,5
"Levin","Linden","Indonesia",1962/09/26,4,1
"Olwen","Novic","Uzbekistan",1962/08/14,4,2
"Garvin","Denniss","Peru",1986/07/03,2,3
"Dilan","Davidovicz","Philippines",1994/12/22,1,4
"Zebulen","Charlo","Pakistan",1991/11/13,3,5
"Flora","Blunn","Panama",1997/09/17,2,1
"Ianthe","Lucey","China",1980/03/08,4,2
"Dianne","Laker","Syria",1986/03/11,1,3
"Richmound","Franzman","China",1988/05/09,2,4
"Emiline","Venediktov","Egypt",1999/05/14,3,5
"Mona","Bonhill","United States",1991/09/08,3,1
"Jesse","Chidzoy","China",1989/01/14,2,2
"Sebastien","Feavearyear","Philippines",1965/07/21,3,3
"Dana","De Caville","China",1996/01/08,4,4
"Eldon","Sone","Philippines",1986/09/22,2,5
"Joana","Keynd","Indonesia",1978/07/15,4,1
"Geoffrey","Hutchinson","Czech Republic",1984/02/24,2,2
"Herve","Andraud","Thailand",1961/02/10,2,3
"Justino","Linklater","France",1983/07/18,2,4
"Byron","Hursey","Philippines",1962/07/28,3,5
"Binky","Hosier","Brazil",1999/11/27,2,1
"Rici","Crouch","Portugal",1980/04/12,2,2
"Hazlett","Colicot","Russia",1996/08/10,4,3
"Antonio","O' Brian","Russia",1984/02/25,3,4
"Ganny","Salla","Indonesia",1984/06/25,2,5
"Maxie","McGarahan","Uzbekistan",1981/08/05,1,1
"Grazia","Leaver","United States",1980/01/01,2,2
"Julee","McPhillimey","Russia",1989/08/02,2,3
